session,seq,xecs_valid,snr_diss,asap_status,asap_gate,cond,df_steve,df_xecs,dphi_k0_steve,dphi_k0_m2,dphi_k0_m3lumped,dphi_steve1st_minus_m2at120,m3_mem1_minus_mem2_deg,m3_a1_over_a2,ratio_steve,ratio_m2,ratio_m3_scalar,ratio_m3_lumped,bic_m2,bic_m3
2024-04-03_040RP,v3,True,69.3,resplit,pass,good,327.9,319.6,88.47,91.9,60.11,-3.096,-107.2,0.8123,0.1424,0.1482,0.1591,0.2641,-3.07e+04,-3.231e+04
2024-04-09_019WR,v3,True,69.1,resplit,pass,good,345,364.1,61.76,46.4,65.65,14.6,-124.9,1.125,0.2497,0.3548,0.2054,0.4391,-3.105e+04,-3.148e+04
2024-04-22_025VP,v3,True,66.4,resplit,pass,good,340.9,347.8,51.85,45.2,56.28,6.375,-98.14,1.133,0.3273,0.4256,0.3154,0.4787,-3.168e+04,-3.21e+04
2024-04-25_042DR,v3,True,71.3,gated,ratio=-0.118,good,276.8,318.5,-58.58,91.18,78.79,-151.4,-176.3,1.594,-0.1178,0.09807,0.06611,0.2844,-3.155e+04,-3.21e+04
2024-05-02_023DB,v3,True,52,resplit,pass,good,334.5,367.8,52.24,22.03,70.86,28.9,-148.8,0.8217,0.1672,0.2908,0.2966,1.02,-3.252e+04,-3.269e+04
2024-05-06_043AS,v3,True,53.4,resplit,pass,good,332.9,377.8,74.6,39.67,50.14,33.15,-118.6,0.678,0.1456,0.2027,0.1731,0.3205,-2.844e+04,-2.914e+04
2024-05-08_012EB,v3,True,71.9,resplit,pass,good,293.4,274.3,87.97,102.3,60.03,-13.6,-85.84,0.8766,0.1134,0.1142,0.1712,0.2324,-3.174e+04,-3.28e+04
2024-05-13_002ZS,v3,True,42.4,resplit,pass,good,323.3,365.9,59.71,25.69,79.36,32.33,-135.6,0.7883,0.1951,0.3283,0.2544,0.6407,-3.217e+04,-3.242e+04
2024-06-18_003PM,v3,True,57.4,resplit,pass,good,339.3,360.5,63.05,45.11,52.89,17.11,-97.26,0.6787,0.1942,0.2463,0.2276,0.335,-3.163e+04,-3.295e+04
2024-07-03_044DY,v3,True,57.1,resplit,pass,good,328.7,354.4,62.66,41.29,48.22,20.35,-109.3,0.6651,0.1731,0.2359,0.1876,0.3104,-3.119e+04,-3.257e+04
2024-07-29_004DS,v3,True,51.9,resplit,pass,good,332.7,334.7,49.27,46.82,63.77,2.37,-46.26,1.734,0.2564,0.2674,0.3091,0.3333,-3.137e+04,-3.249e+04
2024-08-12_013VM,v3,True,52.7,resplit,pass,good,342.5,370.6,55.19,31.19,46.6,22.88,-102.4,0.6069,0.146,0.2084,0.2394,0.3633,-3.101e+04,-3.162e+04
2024-08-12_013VM,v3,True,52.8,resplit,pass,good,342.5,369.3,55.19,31.62,50.19,22.51,-99.99,0.6679,0.146,0.2061,0.2322,0.3493,-3.088e+04,-3.163e+04
2024-08-15_006MM,v3,True,57.6,gated,fRBC=-270Hz(exp0),good,338.2,353.1,51.66,38.13,59.66,12.93,-122.7,0.8755,0.2188,0.3236,0.198,0.4081,-3.161e+04,-3.212e+04
2024-08-19_015HK,v3,True,50.7,resplit,pass,good,352.3,358.8,55.52,49,56.82,6.256,-89.7,0.7622,0.3178,0.3961,0.3314,0.4615,-3.065e+04,-3.152e+04
2024-08-21_044DY,v3,True,58.3,resplit,pass,good,331.6,351.3,60.65,44.09,52.13,15.77,-106.4,0.7411,0.2045,0.2719,0.2104,0.3429,-3.103e+04,-3.182e+04
2024-08-23_016PG,v3,True,38.8,resplit,pass,good,353.8,354.9,49.43,47.62,54.58,1.769,-104.7,0.6429,0.584,0.6883,0.4892,0.7679,-3.175e+04,-3.255e+04
2024-08-30_014KS,v3,True,50.1,resplit,pass,marginal,329.5,330.6,38.38,35.03,42.3,3.307,-81.73,0.9525,0.3379,0.447,0.3632,0.4783,-3.145e+04,-3.215e+04
2024-09-03_041WF,v3,True,58,resplit,pass,good,355.5,371.5,69.08,56.03,65.77,12.42,-112.8,0.895,0.254,0.3219,0.2193,0.3936,-3.108e+04,-3.174e+04
2024-09-09_043AS,v3,True,57.7,resplit,pass,good,335.8,370.5,71.55,43.49,52.52,26.69,-99.77,0.7759,0.1582,0.2111,0.187,0.2857,-3.204e+04,-3.334e+04
2024-09-10_008TP,v3,True,52.2,resplit,pass,good,343.7,351.9,52.42,44.94,54.49,7.157,-87.29,0.8339,0.3106,0.3799,0.3289,0.4513,-3.059e+04,-3.217e+04
2024-09-10_045VS,v3,True,71.3,resplit,pass,good,350,361,64.35,55.48,60.11,8.435,-78.94,1.001,0.2934,0.3593,0.3061,0.3952,-3.11e+04,-3.158e+04
2024-09-24_039CP,v3,True,52,resplit,pass,good,345.5,358.3,62.35,50.91,56.5,10.93,-99.86,0.6973,0.2582,0.3307,0.2606,0.3944,-3.15e+04,-3.228e+04
2024-09-24_046AA,v3,True,60.2,resplit,pass,good,353.7,375.5,65.27,47.01,58.9,17.4,-121,0.8012,0.2045,0.2655,0.1758,0.3491,-3.14e+04,-3.201e+04
2024-09-26_009ML,v3,True,51.9,resplit,pass,good,334.2,346,57.96,46.77,53.71,10.72,-89.16,0.7466,0.2497,0.3293,0.277,0.3836,-3.05e+04,-3.182e+04
2024-09-27_036RL,v3,True,62.3,resplit,pass,good,314.9,366.4,73.54,30.26,57.29,41.24,-112.2,1.163,0.1128,0.2078,0.1641,0.2909,-3.169e+04,-3.243e+04
2024-10-02_011CN,v3,True,49.2,resplit,pass,good,349.3,372.7,61.09,42.19,63.1,17.97,-116.3,0.842,0.2507,0.3297,0.2696,0.5029,-3.151e+04,-3.194e+04
2024-10-02_018CS,v3,True,29.9,resplit,pass,good,333.8,369.8,52.93,24.51,125.4,26.99,-144.8,1.679,0.3445,0.7823,0.4823,1.242,-3.18e+04,-3.193e+04
2024-10-08_009JT,v3,True,53.2,resplit,pass,good,356.2,378.3,53.89,34.65,87.51,18.35,-113.9,1.11,0.2009,0.3148,0.2501,0.4557,-3.161e+04,-3.205e+04
2024-10-10_019LR,v3,True,56,resplit,pass,good,338.2,358.7,46.45,30.67,48.82,14.96,-87.51,0.6879,0.2034,0.2784,0.3172,0.4299,-3.143e+04,-3.208e+04
2024-10-16_020JS,v3,True,76.7,resplit,pass,good,338.4,361.4,68.3,46.63,79.43,20.76,-136.7,1.379,0.191,0.3339,0.1702,0.4258,-3.166e+04,-3.176e+04
2024-10-16_047SS,v3,True,46.7,resplit,pass,good,318,343,67.38,43.2,60.9,23.19,-87.45,0.923,0.1716,0.2702,0.2561,0.3524,-3.202e+04,-3.252e+04
2024-10-17_048JJ,v3,True,51.5,resplit,pass,good,341.3,361.7,63.45,45.52,57.45,17.13,-122.3,0.7286,0.2276,0.32,0.2157,0.4273,-3.21e+04,-3.255e+04
2024-10-22_021CH,v3,True,45.2,resplit,pass,good,352.3,366.2,58.14,46.05,59.25,11.54,-105.6,0.7318,0.331,0.4296,0.3738,0.602,-3.145e+04,-3.219e+04
2024-10-23_047SS,v3,True,24.9,resplit,pass,good,290.9,262.9,73.53,85.77,66.62,-11.13,125.8,17.98,0.244,0.2733,0.2062,0.2247,-3.224e+04,-3.237e+04
2024-10-28_022VT,v3,True,53.7,resplit,pass,good,340,368.8,59.67,36.29,45.36,22.23,-128.9,0.585,0.1802,0.2454,0.2738,0.5506,-3.186e+04,-3.223e+04
2024-10-29_049WG,v3,True,53.9,resplit,pass,good,339,360.4,63.93,47.84,62.04,15.25,-115.9,1.074,0.2782,0.3742,0.2404,0.4502,-3.255e+04,-3.292e+04
2024-11-05_023LL,v3,True,56.4,resplit,pass,good,337.4,355.3,53.65,34.79,34.57,18.15,-141.1,0.6163,0.2507,0.4077,0.3076,0.7568,-3.17e+04,-3.204e+04
2024-11-13_025JC,v3,True,34.4,resplit,pass,good,338.8,336.3,45.85,46.93,50.96,-0.9784,-96.64,0.6452,0.9299,1.014,0.7215,1.052,-3.175e+04,-3.194e+04
2024-11-18_026CH,v3,True,82,resplit,pass,good,323.9,336.9,57.05,46.84,68.71,9.698,-72.59,1.244,0.1452,0.1736,0.2168,0.2674,-3.133e+04,-3.215e+04
2024-11-26_050EH,v3,True,44.1,resplit,pass,good,343.5,380.9,67.41,37.75,81.78,28.18,-132.3,0.7679,0.1993,0.3248,0.2157,0.5086,-3.186e+04,-3.217e+04
2024-12-05_043AS,v3,True,119.8,resplit,pass,good,347,263,73.89,120.4,104.9,-43.2,-117.5,0.5211,0.1187,0.1503,0.1851,0.3162,-3.163e+04,-3.205e+04
2024-12-06_051VM,v3,True,63.6,resplit,pass,good,346.3,368.9,54.76,34.47,71.16,19.39,-105.1,0.9008,0.1449,0.209,0.2349,0.3834,-3.184e+04,-3.214e+04
2024-12-09_027JC,v3,True,49.6,resplit,pass,good,337,369.5,63.51,35.06,47.07,27.16,-97.6,0.6496,0.1858,0.2972,0.3062,0.4485,-3.032e+04,-3.052e+04
