key,fit,status,gate_loose,gate_strict,gate_xecs,xecs_valid,xecs_reason,nch,DPoff,TE_ms,fRBC,fTP,df,df_xecs,target,ratio_steve,ratio_scalar,F_lump,ratio_m2,TEeff_us,dphi_old,dphi_new,dphi_steve_k0,steve_minus_xecs,dphi_k0_m2,dphi_rep_sd,stab_dphi,stab_F,xecs_stable,dphi_line,line_minus_new,fit_consistent,killpts_corr_deg,model_used,snr_diss,carrier,carrier_ppm,gain_old,gain_new,cond_new,nbins,bins_split_old,bins_resplit,insp_bin,ph_old_insp,ph_new_insp,R_new_insp,R_new_med,ratio_lung_new_insp,corr_old_insp,corr_new_insp,corr_old_med,corr_new_med,negTP_old_insp,negTP_new_insp,negTP_old_med,negTP_new_med,negRBC_old_insp,negRBC_new_insp,lungRBC_old_insp,lungTP_old_insp,lungRBC_new_insp,lungTP_new_insp,mat
2023-11-13_037GD,xecs,gated,pass,pass,xecs invalid: rep_sd>30;unstable_drop3;unstable: dphi moves 10.3 deg when one more sample is dropped;|sin dphi|=0.22,no,rep_sd>30;unstable_drop3,1,218,0.62,-29.08,-351.8,322.7,381.5,0.3022,0.2482,0.208,1.453,0.1639,1810,-149.7,12.7,52.43,39.73,36.3,31,10.3,0.899,no,-77.68,-130.1,False,-12.78,M3,58.2,ON_RBC,218.1,1.982,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-16_038RL,xecs,resplit,fRBC=756Hz(exp0),fRBC=756Hz(exp0),pass,yes,unstable_drop3;carrier_BELOW_MEM,1,218,0.62,756.2,397,359.2,342.9,0.3633,0.2735,0.2319,1.567,0.284,-241.4,-31.22,28,26.87,-1.126,34,2.6,6.3,0.892,no,48.96,22.09,False,-14.23,M3,75.7,BELOW_MEM,175.2,1.929,2.13,marginal,16,16,16,7,4.28,1.169,0.3634,0.3636,0.3634,-0.8474,-0.8753,-0.8186,-0.8524,32.4,33.7,32.43,33.25,28.47,31.09,859.6,215.4,286.4,788.2,/Volumes/HoomHamExt/AIkill_Dynamic/2023-11-16_038RL/d/recon_resplit_xecs.mat
2023-11-17_005DS,xecs,resplit,pass,pass,pass,yes,,1,218,0.62,-13.8,-370.7,356.9,323.7,0.4339,0.2315,0.2923,1.484,0.3398,-451.8,-58.04,33.4,21.44,-11.96,20.1,6.1,4.6,1.04,yes,21.61,0.1706,True,-14.13,M3,51,ON_RBC,218.2,1.179,1.817,marginal,16,16,16,7,5.33,0.244,0.4343,0.4337,0.4343,-0.5556,-0.8662,-0.5777,-0.8488,57.88,18.11,62.78,16.09,3.29,25.49,254.6,-30.87,75.24,173.2,/Volumes/HoomHamExt/AIkill_Dynamic/2023-11-17_005DS/d/recon_resplit_xecs.mat
2023-11-21_039CP,xecs,no_xecs_row,pass,pass,,,session has no usable cal block in the XeCS table,1,218,0.62,-17.57,-367.7,350.1,,,0.2007,,,,-437.8,-55.18,,22.85,,,,,,,22.97,0.1179,True,-13.86,,,,,1.218,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-06_003PM,xecs,no_xecs_row,df=177Hz;fRBC=-356Hz(exp0);|sin dphi|=0.02,df=177Hz;fRBC=-356Hz(exp0);|sin dphi|=0.02,,,session has no usable cal block in the XeCS table,1,218,0.62,-356.5,-533.3,176.8,,,0.4304,,,,-1048,-66.69,,-1.255,,,,,,,-27.22,-25.97,False,-7.003,,,,,1.089,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-11_040RP,xecs,gated,pass,pass,unstable: dphi moves 11.1 deg when one more sample is dropped,yes,unstable_drop3,1,218,0.62,-1.178,-361.6,360.4,348.6,0.2089,0.1278,0.14,1.492,0.123,180.5,23.42,33.2,38.49,5.292,56.7,7.5,11.1,0.964,no,103.9,65.37,False,-14.27,M3,84.8,ON_RBC,218.1,2.516,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-15_003KH,xecs,no_xecs_row,df=3485Hz;fRBC=-357Hz(exp0);|sin dphi|=0.15,df=3485Hz;fRBC=-357Hz(exp0);|sin dphi|=0.15,,,session has no usable cal block in the XeCS table,1,218,0.62,-357.3,-3842,3485,,,1.633,,,,-378.2,-114.5,,171.6,,,,,,,-56.7,131.7,False,-138,,,,,1.099,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-19_041WF,xecs,resplit,pass,pass,pass,yes,,1,208,0.62,180,-151.9,331.9,356.8,0.2577,0.1518,0.1527,1.688,0.1876,171.5,20.5,56.4,82.42,26.02,60,2.9,1.3,1.074,yes,94.58,12.16,True,-13.14,M3,69.6,BETWEEN,206.2,2.856,1.201,good,16,16,16,8,4.72,0.338,0.2582,0.2578,0.2582,-0.9355,-0.5485,-0.9433,-0.6116,13.21,1.461,13.2,1.453,47.07,27.17,23.66,685.3,157.1,608.4,/Volumes/HoomHamExt/AIkill_Dynamic/2023-12-19_041WF/d/recon_resplit_xecs.mat
2024-01-16_004DS,xecs,resplit,pass,df=293Hz;fRBC=295Hz(exp176),pass,yes,carrier_ON_MEM,1,208,0.62,294.6,1.253,293.3,285.6,0.3075,0.08225,0.169,1.82,0.1213,306.2,32.34,59.7,90.96,31.26,70.1,11.2,1.1,1.03,yes,97.81,6.853,True,-11.62,M3,57.8,ON_MEM,196.9,1.869,1.158,good,16,16,16,6,5.13,0.09,0.308,0.3073,0.308,-0.8026,-0.377,-0.8139,-0.4475,21.63,11.54,21.68,11.19,39.06,31.66,86.38,270.3,89.99,292.2,/Volumes/HoomHamExt/AIkill_Dynamic/2024-01-16_004DS/d/recon_resplit_xecs.mat
2024-02-19_037GD,xecs,resplit,pass,pass,pass,yes,,1,218,0.62,-35.54,-364.4,328.9,350.2,0.2657,0.1493,0.1708,1.556,0.1842,113.1,13.39,51.5,75.51,24.01,57.3,4.6,1.8,0.99,yes,86.79,11.29,True,-13.02,M3,66.8,ON_RBC,217.8,4.319,1.278,good,16,16,16,6,5.21,0.559,0.2665,0.2658,0.2665,-0.9859,-0.7856,-0.9756,-0.6519,2.798,0.1253,3.189,0.4001,74.51,13.73,-118.4,336.8,50.24,188.6,/Volumes/HoomHamExt/AIkill_Dynamic/2024-02-19_037GD/d/recon_resplit_xecs.mat
2024-02-21_043AS,xecs,resplit,pass,pass,pass,yes,,1,218,0.62,-19.29,-366,346.7,351,0.3199,0.1841,0.2166,1.477,0.2342,-33.42,-4.172,50.9,64.19,13.29,51.4,2.8,1.9,0.993,yes,73.21,9.02,True,-13.73,M3,62.7,ON_RBC,218,13.75,1.289,good,16,16,16,7,5.39,0.34,0.3194,0.3199,0.3194,-0.9976,-0.6696,-0.9975,-0.6499,79.05,0.4433,81.7,0.5686,11.78,6.294,2647,-1751,236.7,741.1,/Volumes/HoomHamExt/AIkill_Dynamic/2024-02-21_043AS/d/recon_resplit_xecs.mat
2024-02-26_029CK,xecs,resplit,pass,pass,pass,yes,,1,218,0.62,-6.064,-363.9,357.9,359.6,0.4821,0.3206,0.2903,1.661,0.3843,-23.5,-3.027,58.4,66.96,8.564,58.9,1.6,1.8,0.963,yes,76.85,9.882,True,-14.17,M3,57.8,ON_RBC,217.9,18.94,1.174,good,16,16,16,7,5.3,0.473,0.4829,0.4822,0.4829,-0.9979,-0.3636,-0.9986,-0.5076,82.22,0.3864,82.18,0.7897,10.88,4.323,4001,-3002,371.9,770,/Volumes/HoomHamExt/AIkill_Dynamic/2024-02-26_029CK/d/recon_resplit_xecs.mat
2024-02-27_009JT,xecs,resplit,pass,pass,pass,yes,unstable_drop3,1,218,0.62,-16.4,-364.5,348.1,345.5,0.3848,0.2165,0.2536,1.517,0.2856,-17.18,-2.153,39,58.4,19.4,52.6,7.3,8.2,0.95,no,75.54,17.14,True,-13.78,M3,55.8,ON_RBC,218.1,26.62,1.589,marginal,16,16,16,6,5.33,0.362,0.3861,0.3849,0.3861,-0.9993,-0.7788,-0.9993,-0.7825,74.89,5.379,73.49,9.562,21.17,19.69,1650,-1367,84.21,218.1,/Volumes/HoomHamExt/AIkill_Dynamic/2024-02-27_009JT/d/recon_resplit_xecs.mat
2024-03-06_030DN,xecs,resplit,pass,pass,pass,yes,unstable_drop3,1,218,0.62,-30.46,-368.2,337.8,355,0.3644,0.2045,0.1973,1.847,0.2398,98.89,12.02,49.5,74.06,24.56,60.3,5.9,7,0.948,no,87.42,13.36,True,-13.38,M3,64.1,ON_RBC,218,4.8,1.315,good,16,16,16,7,5.16,0.608,0.3637,0.3645,0.3637,-0.981,-0.6891,-0.9798,-0.662,5.898,1.589,6.316,2.005,78.77,9.396,-440.1,1002,166.2,456.8,/Volumes/HoomHamExt/AIkill_Dynamic/2024-03-06_030DN/d/recon_resplit_xecs.mat
2024-03-06_030DN_merged,xecs,resplit,pass,pass,pass,yes,unstable_drop3,1,218,0.62,-30.46,-368.2,337.8,355,0.3644,0.2045,0.1973,1.847,0.2398,98.89,12.02,49.5,74.06,24.56,60.3,5.9,7,0.948,no,87.42,13.36,True,-13.38,M3,64.1,ON_RBC,218,4.8,1.315,good,16,16,16,8,5.16,0.606,0.364,0.3645,0.364,-0.9793,-0.6659,-0.98,-0.6709,6.051,1.668,6.825,2.214,78.94,8.742,-387.8,889.9,148.5,408,/Volumes/HoomHamExt/AIkill_Dynamic/2024-03-06_030DN_merged/d/recon_resplit_xecs.mat
2024-03-11_039CP,xecs,resplit,pass,pass,pass,yes,,1,218,0.62,-26.22,-372.2,346,348.4,0.3676,0.2376,0.2486,1.479,0.295,-46.66,-5.812,53.7,63.28,9.585,53.1,2.2,0.5,1.037,yes,71.41,8.127,True,-13.7,M3,60.9,ON_RBC,218.1,9.875,1.241,good,16,16,16,6,5.35,0.408,0.368,0.3674,0.368,-0.9938,-0.5205,-0.995,-0.6014,81.94,2.119,82.01,2.607,9.174,6.777,2572,-1647,278.4,756.5,/Volumes/HoomHamExt/AIkill_Dynamic/2024-03-11_039CP/d/recon_resplit_xecs.mat
2024-03-12_006KL,xecs,resplit,pass,pass,pass,yes,,1,218,0.62,-50.41,-364.3,313.9,333.4,0.2692,0.1662,0.1826,1.474,0.1996,291.7,32.97,45.9,82.18,36.28,66.5,7.6,3.9,0.947,yes,103,20.85,False,-12.43,M3,66.7,ON_RBC,218,1.838,1.393,good,16,16,16,9,4.85,0.998,0.2684,0.2692,0.2684,-0.8215,-0.7228,-0.8449,-0.7088,2.42,3.144,2.46,3.164,77.76,15.42,-181.1,728.8,130.6,486.7,/Volumes/HoomHamExt/AIkill_Dynamic/2024-03-12_006KL/d/recon_resplit_xecs.mat
2024-03-12_044DY,xecs,resplit,pass,pass,pass,yes,,1,218,0.62,-39.73,-366.8,327.1,339.7,0.2653,0.1531,0.1648,1.61,0.1843,42.84,5.045,46.7,67.86,21.16,55.6,3.3,2.3,1.002,yes,78.05,10.19,True,-12.95,M3,69.8,ON_RBC,218,11.37,1.374,good,16,16,16,7,5.38,0.426,0.2654,0.2653,0.2654,-0.996,-0.6596,-0.9964,-0.7,14.66,4.746,15.11,6.492,77.17,12.65,-1646,2507,194.9,734.5,/Volumes/HoomHamExt/AIkill_Dynamic/2024-03-12_044DY/d/recon_resplit_xecs.mat
2024-03-14_038RL,xecs,resplit,pass,pass,pass,yes,,1,218,0.62,-9.051,-359.1,350.1,348.8,0.5158,0.3382,0.2961,1.742,0.399,-110.8,-13.97,53.9,59.33,5.431,53.4,2.6,1.9,0.957,yes,64.17,4.842,True,-13.86,M3,63.8,ON_RBC,217.9,4.144,1.238,good,16,16,16,7,5.25,0.446,0.5151,0.5157,0.5151,-0.9743,-0.6541,-0.9688,-0.5733,67.27,1.786,68.49,1.798,6.893,4.985,2122,-802.7,510.8,991.7,/Volumes/HoomHamExt/AIkill_Dynamic/2024-03-14_038RL/d/recon_resplit_xecs.mat
2024-03-21_032WS,xecs,resplit,pass,pass,pass,yes,,1,218,0.62,-8.902,-356.6,347.7,364.2,0.2835,0.1776,0.1939,1.462,0.2093,105.6,13.21,58.5,78.16,19.66,60.8,4.9,1.6,1.004,yes,90.81,12.65,True,-13.77,M3,65,ON_RBC,217.7,4.375,1.173,good,16,16,16,7,5.19,0.583,0.2834,0.2836,0.2834,-0.9759,-0.5587,-0.9734,-0.5275,3.998,0.447,3.902,0.635,82.82,6.22,-500.4,1304,199.3,703.3,/Volumes/HoomHamExt/AIkill_Dynamic/2024-03-21_032WS/d/recon_resplit_xecs.mat
2024-03-21_036RL,xecs,resplit,pass,pass,pass,yes,,1,218,0.62,-24.72,-352.2,327.4,333.7,0.2781,0.1555,0.1901,1.462,0.1995,-50.53,-5.956,46.9,61.59,14.69,46.6,3.2,2.7,0.984,yes,67.13,5.536,True,-12.97,M3,65.4,ON_RBC,217.9,9.637,1.37,good,16,16,16,6,5.38,0.331,0.2775,0.2781,0.2775,-0.9971,-0.8105,-0.9956,-0.7328,82.28,1.698,83.12,1.243,8.619,10.17,2827,-1768,249.3,898.1,/Volumes/HoomHamExt/AIkill_Dynamic/2024-03-21_036RL/d/recon_resplit_xecs.mat
2024-03-28_010AJ,xecs,resplit,pass,pass,pass,yes,unstable_drop3,1,218,0.62,-17.97,-355.3,337.3,338.1,0.2918,0.2076,0.2918,1,0.2918,-231.5,-28.12,41.2,47.11,5.913,41.2,2.2,3.6,1.51,no,47.18,0.06252,True,-13.36,M2,57.3,ON_RBC,217.3,2.122,1.518,marginal,16,16,16,9,5.35,0.319,0.2923,0.2921,0.2923,-0.8648,-0.7152,-0.8801,-0.7546,77.19,7.975,77.26,7.875,6.388,18.74,727.8,-217.2,129.2,442,/Volumes/HoomHamExt/AIkill_Dynamic/2024-03-28_010AJ/d/recon_resplit_xecs.mat
2024-04-01_008CR,xecs,resplit,pass,pass,pass,yes,unstable_drop3,1,218,0.62,-22.23,-357.8,335.5,296.7,0.3155,0.2183,0.2873,1.098,0.2621,-457.4,-55.25,46,30.11,-15.89,30.3,9.1,5.9,1.087,no,19.65,-10.46,True,-13.29,M3,55.5,ON_RBC,217.8,1.217,1.39,good,16,16,16,8,5.42,0.293,0.3163,0.3153,0.3163,-0.4567,-0.6158,-0.5483,-0.6742,77.1,2.269,74.14,4.149,0.4011,16.18,650.4,-123,150.1,474.7,/Volumes/HoomHamExt/AIkill_Dynamic/2024-04-01_008CR/d/recon_resplit_xecs.mat
2024-04-03_040RP,xecs,resplit,pass,pass,pass,yes,,1,218,0.62,-28.9,-356.8,327.9,359.8,0.2336,0.1424,0.1507,1.55,0.1592,294.7,34.79,56.2,88.47,32.27,73.6,3.3,0.8,1.014,yes,108,19.51,True,-12.99,M3,76,ON_RBC,217.8,1.753,1.203,good,16,16,16,9,4.87,0.938,0.2335,0.2334,0.2335,-0.7911,-0.5194,-0.8377,-0.597,7.454,7.049,9.811,9.438,67.84,21,-103,631.1,111.9,479.4,/Volumes/HoomHamExt/AIkill_Dynamic/2024-04-03_040RP/d/recon_resplit_xecs.mat
2024-04-09_019WR,xecs,resplit,pass,pass,pass,yes,,1,218,0.62,-18.61,-363.6,345,350.1,0.4046,0.2497,0.2491,1.624,0.3005,-64.26,-7.981,48.4,61.76,13.36,52.9,3.6,3.7,0.983,yes,69.02,7.261,True,-13.66,M3,60.6,ON_RBC,217.7,7.202,1.337,good,16,16,16,8,5.33,0.396,0.4039,0.4043,0.4039,-0.9843,-0.5112,-0.9857,-0.5451,81.56,1.301,82.95,1.391,6.926,10.57,1837,-1020,259.8,643.2,/Volumes/HoomHamExt/AIkill_Dynamic/2024-04-09_019WR/d/recon_resplit_xecs.mat
2024-04-22_025VP,xecs,resplit,pass,pass,pass,yes,,1,218,0.62,-21.83,-362.7,340.9,337.7,0.5003,0.3273,0.3026,1.653,0.3836,-153.3,-18.82,47.9,51.85,3.954,47.7,4,1.9,0.985,yes,57.27,5.416,True,-13.5,M3,64.1,ON_RBC,218.1,3.1,1.348,good,16,16,16,7,5.29,0.401,0.5016,0.5003,0.5016,-0.9651,-0.7359,-0.9559,-0.7113,75.77,2.029,74.21,4.549,2.819,12,1529,-497.3,387.1,771.9,/Volumes/HoomHamExt/AIkill_Dynamic/2024-04-22_025VP/d/recon_resplit_xecs.mat
2024-04-25_042DR,xecs,gated,ratio=-0.118,df=277Hz;ratio=-0.118,unstable: dphi moves 31.2 deg when one more sample is dropped,yes,unstable_drop3,1,218,0.62,-92.13,-369,276.8,322.6,0.107,-0.1178,0.107,1,0.107,2761,-84.88,90.2,-58.58,-148.8,90.2,0.4,31.2,2.216,no,-23.09,35.5,False,-10.96,M2,69.1,ON_RBC,217.8,1.004,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-02_023DB,xecs,resplit,pass,pass,pass,yes,,1,218,0.62,-22.63,-357.1,334.5,319.4,0.3147,0.1672,0.1831,1.719,0.2538,-140.8,-16.96,55.9,52.24,-3.662,39.8,11.9,1.8,1.2,yes,57.71,5.469,True,-13.25,M3,57.3,ON_RBC,217.9,3.429,1.208,good,16,16,16,7,5.4,0.354,0.3141,0.3146,0.3141,-0.9503,-0.5029,-0.9624,-0.6087,82.02,0.608,81.95,0.4729,2.726,6.674,1197,-426.5,208.3,663,/Volumes/HoomHamExt/AIkill_Dynamic/2024-05-02_023DB/d/recon_resplit_xecs.mat
2024-05-06_043AS,xecs,resplit,pass,pass,pass,yes,,1,218,0.62,-27.43,-360.3,332.9,346.2,0.2504,0.1456,0.179,1.399,0.1843,96.99,11.62,55.9,74.6,18.7,54.2,5.6,0.3,1.05,yes,85.93,11.32,True,-13.18,M3,63.9,ON_RBC,218,4.963,1.208,good,16,16,16,6,5.23,0.503,0.2511,0.2505,0.2511,-0.9748,-0.5184,-0.9809,-0.5724,4.778,0.08594,4.867,0.3719,73.68,10.43,-448.7,1313,190.3,757.6,/Volumes/HoomHamExt/AIkill_Dynamic/2024-05-06_043AS/d/recon_resplit_xecs.mat
